Minutes,Players
4,"Vassor,Stephen"
1,"Phillips,Joshua"
1,"Jackson,Trevis"
1,"Boehning,Bryden"
3,"Kuiper,Dane"
1,"Dalton,Spenser"
1,"Coleman,Justin"
1,"White,Stilman"
4,"Laster,Mike"
1,"McDonald,Jaylin"
1,"Frayer,Sam"
1,"Crabtree,Drew"
4,"James,Christian"
2,"Davis,Jackson"
2,"Edwards,Drew"
3,"Harrell,Ronnie"
1,"Smith,Joseff"
1,"Andrews,Rashad"
1,"Smith,Patrick"
1,"Pierre-Louis,Thomas"
1,"Williams,Riyan"
1,"Jorgenson,Travis"
1,"Reuter,Jarred"
1,"Jones,Jeff"
1,"Anim,Sacar"
3,"Franks,Robert"
2,"Stalzer,Eli"
1,"Lombard,Mitch"
1,"Lewis,O.J."
1,"Dolins,Cory"
1,"Barry,Oumar"
5,"Mitchell,Akim"
3,"Zignorski,Matt"
3,"Banner,Devonte"
2,"Vassor,Stephen"
1,"Shaw,Martin"
3,"Smith,Sterling"
1,"Avery,Travis"
3,"Ali,Prince"
1,"Marquetti,Malik"
1,"Jackson,Zachary"
3,"Dry,Dalton"
2,"Jackson,Jordan"
1,"Saxton,Michael"
1,"Hanson,Josh"
1,"Bowman,Greg"
13,"Cox,Austin"
3,"Reid,Kyle"
2,"Jackson,Trevis"
4,"Madison,Ausar"
4,"Mangham,Solomon"
4,"Ellison,Oliver"
1,"VanHorn,Trent"
2,"Gonzalez,Stefan"
5,"Ishola,Brian"
1,"Devine,Connor"
1,"Ernsthausen,Parker"
11,"Brownlee,Lucian"
7,"Armstrong,Derek"
2,"Doby,Khary"
1,"Reese,Nick"
6,"Dorsey-Walker,Sherron"
2,"Keenan,Ryan"
1,"Porter,Franklin"
1,"Biebel,Jack"
1,"Fay,Jake"
1,"Plousis,Mark"
1,"Kennedy,Thomas"
1,"Benzan,Pat"
1,"Mumin,Djordjije"
3,"McDowell,Jake"
1,"Bryant,Grant"
4,"Tucker,Rayjon"
1,"Sinn,Grant"
2,"Paquin,Alex"
